"Município";"Poliomielite";"Poliomielite 4 anos";" Total"
"120017 CAPIXABA";"60,49";"60,89";"60,67"
"120020 CRUZEIRO DO SUL";"92,76";"69,55";"80,82"
"120025 EPITACIOLANDIA";"83,51";"17,31";"49,25"
"120030 FEIJO";"61,34";"13,80";"36,96"
"120032 JORDAO";"88,35";"94,04";"91,02"
"120033 MANCIO LIMA";"96,65";"34,73";"64,64"
"120034 MANOEL URBANO";"32,95";"39,71";"35,96"
"120035 MARECHAL THAUMATURGO";"72,16";"39,00";"53,79"
"120038 PLACIDO DE CASTRO";"103,28";"40,58";"68,41"
"120039 PORTO WALTER";"76,95";"38,17";"56,43"
"120040 RIO BRANCO";"88,44";"65,56";"77,20"
"120042 RODRIGUES ALVES";"48,09";"15,56";"30,39"
"120043 SANTA ROSA DO PURUS";"62,12";"60,34";"61,27"
"120045 SENADOR GUIOMARD";"116,20";"45,13";"79,53"
"120050 SENA MADUREIRA";"97,95";"55,71";"75,82"
"120060 TARAUACA";"62,01";"31,48";"47,38"
"120070 XAPURI";"79,67";"9,28";"42,31"
"120080 PORTO ACRE";"58,37";"18,18";"40,92"
"130002 ALVARAES";"80,80";"50,00";"64,28"
"130006 AMATURA";"111,24";"137,00";"123,08"
"130008 ANAMA";"114,29";"41,04";"71,98"
"130010 ANORI";"79,38";"5,19";"33,99"
"130014 APUI";"116,31";"84,50";"97,39"
"130020 ATALAIA DO NORTE";"69,90";"76,00";"73,11"
"130030 AUTAZES";"95,32";"69,18";"82,50"
"130040 BARCELOS";"57,25";"41,06";"49,27"
"130050 BARREIRINHA";"53,22";"45,20";"49,30"
"130060 BENJAMIN CONSTANT";"118,48";"128,43";"123,30"
"130063 BERURI";"62,98";"66,60";"64,64"
"130068 BOA VISTA DO RAMOS";"82,13";"68,79";"74,53"
"130070 BOCA DO ACRE";"53,70";"42,78";"48,45"
"130080 BORBA";"86,57";"66,77";"75,83"
"130083 CAAPIRANGA";"63,89";"29,67";"44,79"
"130090 CANUTAMA";"85,34";"53,77";"66,25"
"130100 CARAUARI";"83,07";"62,35";"72,34"
"130110 CAREIRO";"92,38";"49,14";"66,64"
"130115 CAREIRO DA VARZEA";"123,21";"58,43";"79,32"
"130120 COARI";"65,16";"42,91";"53,55"
"130130 CODAJAS";"82,69";"68,55";"74,52"
"130140 EIRUNEPE";"59,48";"34,75";"47,01"
"130150 ENVIRA";"75,00";"52,15";"63,35"
"130160 FONTE BOA";"57,46";"54,82";"56,14"
"130165 GUAJARA";"61,66";"47,95";"54,19"
"130170 HUMAITA";"111,19";"84,46";"97,98"
"130180 IPIXUNA";"66,99";"31,00";"43,47"
"130185 IRANDUBA";"110,20";"80,46";"94,82"
"130190 ITACOATIARA";"93,95";"65,68";"79,64"
"130195 ITAMARATI";"94,29";"23,77";"60,68"
"130200 ITAPIRANGA";"102,42";"68,69";"84,02"
"130210 JAPURA";"96,27";"77,78";"86,29"
"130220 JURUA";"65,22";"24,07";"42,11"
"130230 JUTAI";"61,91";"44,05";"53,42"
"130240 LABREA";"106,61";"48,18";"73,19"
"130250 MANACAPURU";"71,10";"50,30";"60,51"
"130255 MANAQUIRI";"85,33";"37,87";"53,66"
"130260 MANAUS";"82,68";"97,28";"89,41"
"130270 MANICORE";"74,12";"46,17";"59,18"
"130280 MARAA";"74,40";"63,01";"68,09"
"130290 MAUES";"60,01";"48,13";"54,24"
"130300 NHAMUNDA";"73,46";"65,80";"69,16"
"130310 NOVA OLINDA DO NORTE";"68,75";"32,11";"48,09"
"130320 NOVO AIRAO";"71,77";"30,29";"49,86"
"130330 NOVO ARIPUANA";"80,79";"45,08";"60,60"
"130340 PARINTINS";"75,64";"55,53";"64,87"
"130350 PAUINI";"57,75";"24,90";"38,26"
"130353 PRESIDENTE FIGUEIREDO";"108,03";"69,64";"87,42"
"130356 RIO PRETO DA EVA";"75,59";"49,74";"60,73"
"130360 SANTA ISABEL DO RIO NEGRO";"78,92";"43,34";"57,11"
"130370 SANTO ANTONIO DO ICA";"87,57";"88,75";"88,15"
"130380 SAO GABRIEL DA CACHOEIRA";"89,54";"109,79";"98,64"
"130390 SAO PAULO DE OLIVENCA";"85,69";"91,81";"88,59"
"130395 SAO SEBASTIAO DO UATUMA";"69,42";"11,78";"35,39"
"130400 SILVES";"71,54";"81,33";"76,22"
"130406 TABATINGA";"87,07";"96,78";"91,60"
"130410 TAPAUA";"72,10";"50,00";"60,07"
"130420 TEFE";"148,55";"76,18";"113,80"
"130423 TONANTINS";"73,58";"55,63";"64,48"
"130426 UARINI";"102,40";"51,05";"75,04"
"130430 URUCARA";"101,11";"42,76";"64,46"
"130440 URUCURITUBA";"93,02";"50,44";"67,88"
"140002 AMAJARI";"43,94";"22,26";"33,68"
"140005 ALTO ALEGRE";"52,09";"43,12";"47,75"
"140010 BOA VISTA";"93,38";"83,86";"89,19"
"140015 BONFIM";"67,90";"64,69";"66,43"
"140017 CANTA";"27,84";"32,18";"30,00"
"140020 CARACARAI";"71,50";"65,88";"68,63"
"140023 CAROEBE";"74,86";"31,94";"52,94"
"140028 IRACEMA";"78,57";"46,19";"60,40"
"140030 MUCAJAI";"60,84";"60,30";"60,56"
"140040 NORMANDIA";"43,61";"47,92";"45,47"
"140045 PACARAIMA";"119,74";"70,97";"97,83"
"140047 RORAINOPOLIS";"42,81";"32,55";"37,93"
"140050 SAO JOAO DA BALIZA";"82,79";"40,69";"59,93"
"140060 SAO LUIZ";"31,13";"24,77";"27,91"
"140070 UIRAMUTA";"56,85";"56,02";"56,50"
"150010 ABAETETUBA";"54,63";"22,35";"38,65"
"150013 ABEL FIGUEIREDO";"89,44";"56,20";"73,12"
"150020 ACARA";"68,65";"35,07";"50,07"
"150030 AFUA";"50,41";"24,69";"37,60"
"150034 AGUA AZUL DO NORTE";"31,63";"6,09";"14,44"
"150040 ALENQUER";"61,75";"32,53";"46,23"
"150050 ALMEIRIM";"66,17";"50,80";"58,46"
"150060 ALTAMIRA";"82,99";"78,43";"80,98"
"150070 ANAJAS";"78,95";"68,61";"74,05"
"150080 ANANINDEUA";"53,78";"27,43";"40,78"
"150085 ANAPU";"86,19";"73,90";"80,63"
"150090 AUGUSTO CORREA";"72,51";"34,67";"52,76"
"150095 AURORA DO PARA";"81,05";"43,90";"59,18"
"150100 AVEIRO";"191,25";"58,51";"97,26"
"150110 BAGRE";"80,83";"48,29";"62,65"
"150120 BAIAO";"77,62";"45,01";"58,69"
"150125 BANNACH";"108,16";"25,35";"59,17"
"150130 BARCARENA";"86,35";"62,06";"74,41"
"150140 BELEM";"74,53";"55,57";"64,88"
"150145 BELTERRA";"118,75";"49,61";"78,41"
"150150 BENEVIDES";"55,91";"15,26";"35,77"
"150157 BOM JESUS DO TOCANTINS";"115,11";"47,77";"77,13"
"150160 BONITO";"100,00";"18,65";"48,89"
"150170 BRAGANCA";"76,32";"25,28";"49,11"
"150172 BRASIL NOVO";"85,59";"59,82";"72,84"
"150175 BREJO GRANDE DO ARAGUAIA";"111,83";"44,44";"69,92"
"150178 BREU BRANCO";"37,58";"11,79";"21,72"
"150180 BREVES";"32,13";"18,05";"25,42"
"150190 BUJARU";"87,10";"48,44";"64,87"
"150195 CACHOEIRA DO PIRIA";"44,69";"6,95";"17,46"
"150200 CACHOEIRA DO ARARI";"67,58";"46,12";"55,34"
"150210 CAMETA";"68,89";"41,69";"54,40"
"150215 CANAA DOS CARAJAS";"87,84";"136,53";"103,86"
"150220 CAPANEMA";"82,02";"41,04";"60,86"
"150230 CAPITAO POCO";"103,80";"33,58";"64,06"
"150240 CASTANHAL";"84,92";"55,65";"70,38"
"150250 CHAVES";"41,13";"31,94";"35,56"
"150260 COLARES";"92,68";"44,30";"64,54"
"150270 CONCEICAO DO ARAGUAIA";"46,46";"17,34";"31,37"
"150275 CONCORDIA DO PARA";"94,18";"32,93";"59,29"
"150276 CUMARU DO NORTE";"36,14";"0,85";"15,46"
"150277 CURIONOPOLIS";"114,48";"42,15";"75,24"
"150280 CURRALINHO";"58,53";"39,20";"48,16"
"150285 CURUA";"110,94";"48,71";"70,79"
"150290 CURUCA";"96,13";"29,60";"56,29"
"150293 DOM ELISEU";"80,35";"35,44";"52,53"
"150295 ELDORADO DOS CARAJAS";"45,76";"11,49";"24,15"
"150300 FARO";"80,39";"26,44";"49,31"
"150304 FLORESTA DO ARAGUAIA";"78,64";"16,30";"46,10"
"150307 GARRAFAO DO NORTE";"81,27";"40,55";"57,31"
"150309 GOIANESIA DO PARA";"62,57";"10,87";"33,02"
"150310 GURUPA";"83,20";"51,25";"66,77"
"150320 IGARAPE-ACU";"113,65";"56,70";"82,69"
"150330 IGARAPE-MIRI";"77,65";"37,54";"55,62"
"150340 INHANGAPI";"93,14";"57,84";"74,14"
"150345 IPIXUNA DO PARA";"72,56";"19,62";"38,01"
"150350 IRITUIA";"75,48";"27,85";"45,82"
"150360 ITAITUBA";"70,89";"26,24";"51,40"
"150370 ITUPIRANGA";"46,99";"8,15";"23,84"
"150375 JACAREACANGA";"44,75";"21,48";"30,37"
"150380 JACUNDA";"75,85";"34,63";"51,87"
"150390 JURUTI";"97,70";"49,58";"71,00"
"150400 LIMOEIRO DO AJURU";"100,00";"45,82";"67,09"
"150405 MAE DO RIO";"91,06";"48,21";"69,14"
"150410 MAGALHAES BARATA";"108,89";"51,74";"71,37"
"150420 MARABA";"97,27";"44,95";"70,55"
"150430 MARACANA";"49,72";"24,58";"34,14"
"150440 MARAPANIM";"49,38";"14,77";"28,36"
"150442 MARITUBA";"61,26";"24,05";"41,36"
"150445 MEDICILANDIA";"80,35";"30,80";"52,56"
"150450 MELGACO";"54,27";"45,41";"49,23"
"150460 MOCAJUBA";"72,37";"24,85";"45,05"
"150470 MOJU";"29,45";"9,83";"17,98"
"150475 MOJUI DOS CAMPOS";"72,93";"32,76";"50,48"
"150480 MONTE ALEGRE";"63,50";"34,14";"48,52"
"150490 MUANA";"68,71";"36,63";"49,54"
"150495 NOVA ESPERANCA DO PIRIA";"72,28";"8,07";"35,79"
"150497 NOVA IPIXUNA";"92,20";"24,06";"51,67"
"150500 NOVA TIMBOTEUA";"93,17";"44,80";"63,75"
"150503 NOVO PROGRESSO";"107,09";"112,97";"109,65"
"150506 NOVO REPARTIMENTO";"61,74";"43,71";"51,95"
"150510 OBIDOS";"80,77";"40,21";"59,14"
"150520 OEIRAS DO PARA";"88,57";"64,57";"75,49"
"150530 ORIXIMINA";"76,12";"37,17";"55,65"
"150540 OUREM";"97,67";"56,33";"75,95"
"150543 OURILANDIA DO NORTE";"77,19";"62,37";"70,33"
"150548 PACAJA";"79,19";"34,42";"55,07"
"150549 PALESTINA DO PARA";"96,91";"58,39";"72,87"
"150550 PARAGOMINAS";"74,15";"50,55";"61,78"
"150553 PARAUAPEBAS";"75,95";"69,77";"73,34"
"150555 PAU D\'ARCO";"81,90";"40,95";"62,44"
"150560 PEIXE-BOI";"75,44";"27,97";"49,03"
"150563 PICARRA";"110,44";"45,59";"72,23"
"150565 PLACAS";"80,76";"21,46";"40,51"
"150570 PONTA DE PEDRAS";"127,59";"69,56";"90,62"
"150580 PORTEL";"48,76";"38,39";"43,36"
"150590 PORTO DE MOZ";"83,74";"30,32";"52,52"
"150600 PRAINHA";"55,08";"28,42";"42,15"
"150610 PRIMAVERA";"91,23";"42,21";"64,86"
"150611 QUATIPURU";"97,63";"26,81";"53,71"
"150613 REDENCAO";"69,31";"19,64";"47,23"
"150616 RIO MARIA";"82,42";"34,52";"56,95"
"150618 RONDON DO PARA";"75,16";"32,39";"49,87"
"150619 RUROPOLIS";"117,76";"29,96";"56,91"
"150620 SALINOPOLIS";"82,54";"45,62";"62,66"
"150630 SALVATERRA";"94,44";"60,54";"76,84"
"150635 SANTA BARBARA DO PARA";"75,94";"46,41";"61,41"
"150640 SANTA CRUZ DO ARARI";"87,64";"18,18";"43,62"
"150650 SANTA IZABEL DO PARA";"64,38";"20,17";"41,17"
"150655 SANTA LUZIA DO PARA";"71,22";"28,86";"48,39"
"150658 SANTA MARIA DAS BARREIRAS";"115,38";"19,73";"46,65"
"150660 SANTA MARIA DO PARA";"59,35";"5,30";"32,13"
"150670 SANTANA DO ARAGUAIA";"107,73";"22,80";"50,03"
"150680 SANTAREM";"57,09";"28,12";"43,89"
"150690 SANTAREM NOVO";"63,55";"41,18";"51,77"
"150700 SANTO ANTONIO DO TAUA";"93,37";"53,24";"72,49"
"150710 SAO CAETANO DE ODIVELAS";"88,37";"34,88";"56,22"
"150715 SAO DOMINGOS DO ARAGUAIA";"106,67";"57,14";"77,43"
"150720 SAO DOMINGOS DO CAPIM";"86,29";"34,56";"55,68"
"150730 SAO FELIX DO XINGU";"75,35";"14,55";"36,35"
"150740 SAO FRANCISCO DO PARA";"95,63";"35,58";"61,73"
"150745 SAO GERALDO DO ARAGUAIA";"59,72";"7,36";"33,67"
"150746 SAO JOAO DA PONTA";"126,44";"60,68";"88,73"
"150747 SAO JOAO DE PIRABAS";"77,35";"40,74";"56,01"
"150750 SAO JOAO DO ARAGUAIA";"74,12";"18,31";"39,21"
"150760 SAO MIGUEL DO GUAMA";"74,40";"39,89";"55,66"
"150770 SAO SEBASTIAO DA BOA VISTA";"102,69";"49,13";"74,59"
"150775 SAPUCAIA";"98,95";"83,33";"91,10"
"150780 SENADOR JOSE PORFIRIO";"68,35";"18,18";"42,81"
"150790 SOURE";"57,59";"7,94";"30,98"
"150795 TAILANDIA";"95,18";"67,86";"79,62"
"150796 TERRA ALTA";"47,09";"29,23";"38,40"
"150797 TERRA SANTA";"104,24";"30,33";"62,56"
"150800 TOME-ACU";"61,11";"49,11";"55,53"
"150803 TRACUATEUA";"58,66";"17,41";"37,38"
"150805 TRAIRAO";"142,99";"38,54";"77,53"
"150808 TUCUMA";"73,08";"39,76";"56,82"
"150810 TUCURUI";"65,66";"42,39";"54,09"
"150812 ULIANOPOLIS";"71,46";"18,47";"33,94"
"150815 URUARA";"86,81";"45,00";"63,46"
"150820 VIGIA";"88,12";"36,27";"58,83"
"150830 VISEU";"57,46";"23,95";"38,56"
"150835 VITORIA DO XINGU";"68,97";"65,45";"67,58"
"150840 XINGUARA";"95,57";"62,53";"80,12"
"160005 SERRA DO NAVIO";"130,00";"31,53";"66,08"
"160010 AMAPA";"107,09";"48,96";"73,57"
"160015 PEDRA BRANCA DO AMAPARI";"80,51";"55,10";"67,31"
"160020 CALCOENE";"125,71";"75,00";"99,32"
"160021 CUTIAS";"76,42";"50,00";"61,76"
"160023 FERREIRA GOMES";"67,07";"51,68";"59,74"
"160025 ITAUBAL";"91,67";"30,00";"60,83"
"160027 LARANJAL DO JARI";"78,35";"36,53";"55,81"
"160030 MACAPA";"72,29";"48,44";"61,33"
"160040 MAZAGAO";"32,67";"15,76";"23,97"
"160050 OIAPOQUE";"61,04";"39,02";"50,28"
"160053 PORTO GRANDE";"68,10";"31,59";"49,26"
"160055 PRACUUBA";"80,00";"35,25";"52,97"
"160060 SANTANA";"68,05";"34,04";"51,26"
"160070 TARTARUGALZINHO";"126,33";"11,26";"63,25"
"160080 VITORIA DO JARI";"74,45";"29,15";"50,97"
"170025 ABREULANDIA";"155,56";"33,33";"74,07"
"170030 AGUIARNOPOLIS";"96,05";"41,46";"62,31"
"170035 ALIANCA DO TOCANTINS";"87,10";"67,78";"77,60"
"170040 ALMAS";"78,91";"45,32";"61,42"
"170070 ALVORADA";"166,67";"82,64";"119,22"
"170100 ANANAS";"82,32";"63,48";"72,51"
"170105 ANGICO";"76,74";"44,83";"58,42"
"170110 APARECIDA DO RIO NEGRO";"102,53";"67,47";"84,57"
"170130 ARAGOMINAS";"98,53";"68,81";"80,23"
"170190 ARAGUACEMA";"91,15";"37,80";"62,92"
"170200 ARAGUACU";"97,94";"74,58";"85,12"
"170210 ARAGUAINA";"87,67";"69,97";"79,58"
"170215 ARAGUANA";"85,57";"76,34";"81,05"
"170220 ARAGUATINS";"80,14";"41,29";"59,19"
"170230 ARAPOEMA";"74,51";"73,83";"74,16"
"170240 ARRAIAS";"85,21";"71,95";"78,68"
"170255 AUGUSTINOPOLIS";"94,87";"71,70";"83,31"
"170270 AURORA DO TOCANTINS";"95,24";"70,69";"81,00"
"170290 AXIXA DO TOCANTINS";"112,10";"60,89";"83,29"
"170300 BABACULANDIA";"84,11";"48,45";"62,69"
"170305 BANDEIRANTES DO TOCANTINS";"95,83";"48,48";"68,42"
"170307 BARRA DO OURO";"63,16";"33,33";"48,40"
"170310 BARROLANDIA";"106,78";"72,22";"85,91"
"170320 BERNARDO SAYAO";"113,33";"78,38";"94,03"
"170330 BOM JESUS DO TOCANTINS";"90,00";"80,25";"85,09"
"170360 BRASILANDIA DO TOCANTINS";"127,27";"73,17";"92,06"
"170370 BREJINHO DE NAZARE";"72,15";"48,00";"58,66"
"170380 BURITI DO TOCANTINS";"85,62";"60,33";"71,52"
"170382 CACHOEIRINHA";"75,86";"39,47";"55,22"
"170384 CAMPOS LINDOS";"140,43";"57,97";"91,38"
"170386 CARIRI DO TOCANTINS";"126,92";"96,49";"111,01"
"170388 CARMOLANDIA";"93,33";"45,45";"69,66"
"170389 CARRASCO BONITO";"97,37";"74,71";"85,28"
"170390 CASEARA";"115,94";"14,29";"56,29"
"170410 CENTENARIO";"112,00";"51,02";"71,62"
"170460 CHAPADA DE AREIA";"135,00";"83,33";"110,53"
"170510 CHAPADA DA NATIVIDADE";"75,68";"51,72";"61,05"
"170550 COLINAS DO TOCANTINS";"69,82";"50,09";"60,40"
"170555 COMBINADO";"101,41";"69,88";"84,42"
"170560 CONCEICAO DO TOCANTINS";"103,33";"56,76";"77,61"
"170600 COUTO MAGALHAES";"75,00";"61,05";"67,43"
"170610 CRISTALANDIA";"87,38";"44,09";"63,48"
"170625 CRIXAS DO TOCANTINS";"75,00";"68,75";"71,43"
"170650 DARCINOPOLIS";"48,18";"12,24";"31,25"
"170700 DIANOPOLIS";"98,40";"82,54";"89,96"
"170710 DIVINOPOLIS DO TOCANTINS";"110,09";"79,82";"94,95"
"170720 DOIS IRMAOS DO TOCANTINS";"118,64";"44,14";"70,00"
"170730 DUERE";"75,86";"43,24";"57,58"
"170740 ESPERANTINA";"75,66";"52,94";"62,20"
"170755 FATIMA";"52,17";"66,67";"59,26"
"170765 FIGUEIROPOLIS";"44,74";"7,25";"26,90"
"170770 FILADELFIA";"119,44";"38,89";"71,11"
"170820 FORMOSO DO ARAGUAIA";"57,91";"32,52";"44,57"
"170825 FORTALEZA DO TABOCAO";"122,45";"142,86";"130,95"
"170830 GOIANORTE";"101,47";"79,76";"89,47"
"170900 GOIATINS";"87,80";"73,68";"80,23"
"170930 GUARAI";"92,39";"76,04";"84,18"
"170950 GURUPI";"80,98";"68,33";"74,97"
"170980 IPUEIRAS";"125,00";"64,86";"85,96"
"171050 ITACAJA";"90,91";"79,87";"85,27"
"171070 ITAGUATINS";"70,00";"34,21";"47,83"
"171090 ITAPIRATINS";"100,00";"58,21";"78,63"
"171110 ITAPORA DO TOCANTINS";"68,42";"92,31";"80,52"
"171150 JAU DO TOCANTINS";"139,29";"66,67";"88,30"
"171180 JUARINA";"100,00";"35,71";"62,50"
"171190 LAGOA DA CONFUSAO";"89,67";"65,98";"77,85"
"171195 LAGOA DO TOCANTINS";"123,40";"73,33";"90,51"
"171200 LAJEADO";"93,44";"119,64";"105,98"
"171215 LAVANDEIRA";"86,36";"36,36";"56,36"
"171240 LIZARDA";"86,67";"47,95";"62,71"
"171245 LUZINOPOLIS";"132,35";"33,33";"70,33"
"171250 MARIANOPOLIS DO TOCANTINS";"81,82";"58,33";"68,67"
"171270 MATEIROS";"160,53";"63,46";"104,44"
"171280 MAURILANDIA DO TOCANTINS";"118,60";"64,52";"86,67"
"171320 MIRACEMA DO TOCANTINS";"105,86";"58,89";"80,41"
"171330 MIRANORTE";"118,90";"46,45";"78,13"
"171360 MONTE DO CARMO";"60,45";"64,57";"62,45"
"171370 MONTE SANTO DO TOCANTINS";"111,11";"103,23";"107,46"
"171380 PALMEIRAS DO TOCANTINS";"101,30";"65,14";"80,11"
"171395 MURICILANDIA";"101,67";"50,75";"74,80"
"171420 NATIVIDADE";"119,82";"71,23";"92,22"
"171430 NAZARE";"74,29";"46,34";"59,21"
"171488 NOVA OLINDA";"80,63";"58,69";"69,06"
"171500 NOVA ROSALANDIA";"92,45";"81,54";"86,44"
"171510 NOVO ACORDO";"85,00";"50,63";"67,92"
"171515 NOVO ALEGRE";"87,50";"85,29";"86,21"
"171525 NOVO JARDIM";"79,41";"42,62";"55,79"
"171550 OLIVEIRA DE FATIMA";"83,33";"126,32";"100,00"
"171570 PALMEIRANTE";"66,20";"27,72";"43,60"
"171575 PALMEIROPOLIS";"131,94";"61,48";"87,63"
"171610 PARAISO DO TOCANTINS";"97,92";"71,16";"85,50"
"171620 PARANA";"104,11";"66,83";"82,61"
"171630 PAU D\'ARCO";"94,92";"67,11";"79,26"
"171650 PEDRO AFONSO";"80,00";"86,53";"82,72"
"171660 PEIXE";"117,46";"56,73";"82,49"
"171665 PEQUIZEIRO";"107,02";"65,26";"80,92"
"171670 COLMEIA";"94,23";"69,60";"80,79"
"171700 PINDORAMA DO TOCANTINS";"124,14";"57,61";"83,33"
"171720 PIRAQUE";"97,87";"55,36";"74,76"
"171750 PIUM";"83,33";"31,20";"53,85"
"171780 PONTE ALTA DO BOM JESUS";"116,98";"79,41";"95,87"
"171790 PONTE ALTA DO TOCANTINS";"80,34";"59,03";"68,58"
"171800 PORTO ALEGRE DO TOCANTINS";"128,21";"71,43";"96,59"
"171820 PORTO NACIONAL";"88,13";"86,11";"87,29"
"171830 PRAIA NORTE";"100,94";"42,86";"64,24"
"171840 PRESIDENTE KENNEDY";"109,76";"54,93";"75,00"
"171845 PUGMIL";"171,88";"84,31";"118,07"
"171850 RECURSOLANDIA";"88,89";"41,00";"57,79"
"171855 RIACHINHO";"111,67";"77,22";"92,09"
"171865 RIO DA CONCEICAO";"121,05";"65,85";"92,41"
"171870 RIO DOS BOIS";"97,62";"48,98";"71,43"
"171875 RIO SONO";"84,06";"45,79";"60,80"
"171880 SAMPAIO";"108,97";"67,39";"86,47"
"171884 SANDOLANDIA";"125,64";"46,55";"78,35"
"171886 SANTA FE DO ARAGUAIA";"115,84";"81,20";"96,15"
"171888 SANTA MARIA DO TOCANTINS";"129,27";"45,61";"80,61"
"171889 SANTA RITA DO TOCANTINS";"124,14";"102,50";"111,59"
"171890 SANTA ROSA DO TOCANTINS";"93,75";"65,93";"78,95"
"171900 SANTA TEREZA DO TOCANTINS";"62,50";"54,76";"59,43"
"172000 SANTA TEREZINHA DO TOCANTINS";"84,85";"41,30";"59,49"
"172010 SAO BENTO DO TOCANTINS";"101,32";"58,16";"77,01"
"172015 SAO FELIX DO TOCANTINS";"120,00";"29,03";"64,71"
"172020 SAO MIGUEL DO TOCANTINS";"106,40";"69,62";"85,09"
"172025 SAO SALVADOR DO TOCANTINS";"116,67";"45,28";"71,08"
"172030 SAO SEBASTIAO DO TOCANTINS";"100,00";"48,45";"68,55"
"172049 SAO VALERIO";"96,43";"58,11";"74,62"
"172065 SILVANOPOLIS";"71,08";"61,90";"66,47"
"172080 SITIO NOVO DO TOCANTINS";"120,00";"82,35";"98,14"
"172085 SUCUPIRA";"42,86";"69,44";"59,65"
"172090 TAGUATINGA";"84,24";"68,38";"75,16"
"172093 TAIPAS DO TOCANTINS";"118,75";"56,76";"75,47"
"172097 TALISMA";"90,48";"109,09";"100,00"
"172100 PALMAS";"77,75";"77,46";"77,62"
"172110 TOCANTINIA";"103,63";"67,84";"86,81"
"172120 TOCANTINOPOLIS";"82,42";"87,56";"84,78"
"172125 TUPIRAMA";"58,33";"100,00";"80,39"
"172130 TUPIRATINS";"80,95";"67,65";"72,73"
"172208 WANDERLANDIA";"82,71";"53,54";"65,26"
"172210 XAMBIOA";"80,09";"61,50";"71,67"
"210005 ACAILANDIA";"93,59";"58,71";"75,09"
"210010 AFONSO CUNHA";"109,71";"26,97";"60,39"
"210015 AGUA DOCE DO MARANHAO";"139,88";"56,25";"89,39"
"210020 ALCANTARA";"72,93";"24,88";"41,78"
